Month_Year,Visitor_G1,Visitor_G2,Visitor_G3,Visitor_G4,Visitor_G5,,,
May-09,496514.7352,669359.8173,1130010.468,518353.3316,302830.1042,,,
Jun-09,475371.1657,641172.857,1035769.506,491859.0506,274611.9821,,,
Jul-09,493107.4303,662813.0616,1110888.784,533217.0057,338562.7998,,,
Aug-09,477416.6791,680512.4209,1142620.999,554291.5964,351872.4044,,,
Sep-09,454045.845,794426.9494,1268327.595,526797.3788,294310.7907,,,
Oct-09,612469.6913,819632.8159,1218858.334,575944.4285,308563.0077,,,
Nov-09,626853.7164,848481.1204,1276454.227,609970.2025,328730.044,,,
Dec-09,606090.0081,831312.2834,1297094.031,587234.711,408062.1837,,,
Jan-10,586967.9018,836503.4249,1287940.908,597802.7926,461513.1193,,,
Feb-10,549127.9409,829583.0199,1285391.016,575445.1378,482651.6041,,,
Mar-10,562672.4525,878789.8892,1377562.336,604308.3914,567534.3508,,,
Apr-10,528763.3076,855638.9075,1374802.496,590785.2878,592785.394,,,
May-10,521185.8941,885979.5414,1389349.756,596540.8916,640510.5659,,,
Jun-10,508041.671,910778.6399,1383075.841,612608.4892,600164.3024,,,
Jul-10,502397.04,937344.0189,1414812.948,620091.6469,618090.1817,,,
Aug-10,502641.2637,937059.0115,1408008.876,635701.1103,653107.4554,,,
Sep-10,507537.1395,953502.1625,1379918.742,629615.6267,673484.7261,,,
Oct-10,527766.5902,991311.0696,1371466.871,662174.155,757801.3187,,,
Nov-10,580753.3173,1071792.297,1494105.406,770699.925,899946.4706,,,
Dec-10,504748.6744,946205.2459,1306122.145,710732.5629,850151.6475,,,
Jan-11,507492.4341,942935.9489,1299045.727,746790.4008,923544.9935,,,
Feb-11,409848.8318,835227.1897,1201544.263,763850.2547,839606.4353,,,
Mar-11,418716.7018,867498.7263,1236358.223,836191.7621,1029719.631,,,
Apr-11,463992.3831,779158.501,1234463.296,811020.7658,907749.3467,,,
May-11,457285.6268,811931.8865,1211164.986,872164.5427,977990.0291,,,
Jun-11,485131.2083,808315.3851,1285375.17,809577.9541,944522.5217,,,
Jul-11,466484.365,734652.9823,1250820.306,762547.6449,973073.1173,,,
Aug-11,504403.0528,741202.7893,1306804.482,762112.6246,946827.6287,,,
Sep-11,514433.9539,665098.0654,1231066.559,819940.8816,1019293.67,,,
Oct-11,616046.5059,805050.635,1400770.894,875991.5606,1016757.094,,,
Nov-11,515239.6854,741150.2181,1419771.478,861269.7543,1212542.844,,,
Dec-11,547557.8284,744408.7151,1434878.601,857237.2758,1239400.454,,,
Jan-12,448457.535,728566.7879,1314277.245,886162.3733,1232001.749,,,
Feb-12,538119.6686,760429.0647,1545946.561,836385.1535,1157877.389,,,
Mar-12,515494.5281,746361.715,1437410.3,863422.6564,1183381.586,,,
Apr-12,587597.7676,857403.3612,1396799.949,930819.828,1087130.374,,,
May-12,584067.7495,845447.3517,1610225.752,908496.7076,1129847.902,,,
