Customer ID,Sales Channel,Gender,Product Type,Purchase Reason,Decision,Age at POS,Manual Decision,Employment,Sum Assured,Annual Premium,Evidence,1 Year Lapse
A000000001,IFA,Male,Single,Family Protection,Accepted Standard Terms,40,N,Employed,150000.00,177.00,N,0
A000000002,IFA,Male,Single,Family Protection,Accepted Standard Terms,47,N,Employed,130000.00,287.40,Y,1
A000000003,IFA,Male,Single,Family Protection,Accepted Standard Terms,54,N,Self-Employed,60016.00,254.16,Y,0
A000000004,IFA,Female,Joint,Mortgage Protection,Accepted Standard Terms,44,Y,Employed,59700.00,136.80,N,0
A000000005,IFA,Female,Joint,Mortgage Protection,Accepted Standard Terms,44,N,Employed,116000.00,240.84,Y,0
A000000006,SP,Female,Joint,Mortgage Protection,Accepted Standard Terms,53,Y,House Person,142000.00,1095.12,N,0
A000000007,SP,Female,Single,Family Protection,Accepted Standard Terms,53,Y,House Person,50000.00,666.60,N,0
A000000008,IFA,Male,Single,Family Protection,Accepted Standard Terms,40,N,Employed,50000.00,127.92,Y,0
A000000009,IFA,Male,Single,Family Protection,Accepted Standard Terms,54,Y,Self-Employed,350000.00,828.36,N,0
A000000010,SP,Male,Single,Mortgage Protection,Accepted Standard Terms,44,Y,Employed,74503.00,531.60,N,0
A000000011,IFA,Male,Single,Mortgage Protection,Accepted Standard Terms,57,N,Self-Employed,50000.00,170.40,Y,0
A000000012,SP,Male,Single,Business Protection,Accepted Standard Terms,49,Y,Employed,2000000.00,4200.60,N,0
A000000013,IFA,Male,Single,Family Protection,Accepted Standard Terms,43,Y,Employed,500000.00,788.52,N,0
A000000014,IFA,Male,Joint,Mortgage Protection,Accepted Standard Terms,36,Y,Employed,186000.00,1390.56,N,0
A000000015,SP,Female,Single,Mortgage Protection,Accepted Standard Terms,45,N,Employed,5500.00,77.28,Y,0
A000000016,BP,Male,Single,Family Protection,Accepted Standard Terms,40,Y,Self-Employed,200000.00,234.48,Y,0
A000000017,BP,Male,Single,Family Protection,Accepted Standard Terms,40,Y,Self-Employed,50000.00,274.68,Y,0
A000000018,IFA,Male,Single,Family Protection,Accepted Standard Terms,52,Y,Employed,105356.00,474.00,N,0
A000000019,IFA,Male,Single,Family Protection,Accepted Standard Terms,40,Y,Employed,300000.00,1898.40,N,1
A000000020,BP,Female,Joint,Mortgage Protection,Accepted Standard Terms,46,Y,House Person,42500.00,199.08,N,1
A000000021,IFA,Male,Single,Family Protection,Accepted Standard Terms,42,N,Employed,100000.00,162.48,Y,0
A000000022,BP,Female,Single,Mortgage Protection,Accepted Standard Terms,35,Y,Employed,116000.00,240.00,Y,0
A000000023,IFA,Female,Single,Mortgage Protection,Accepted Standard Terms,52,Y,Employed,100000.00,216.00,N,0
